"id";"userID";"objectID";"eventType";"eventValue";"lastModified"
"3706722";"2705620";"5253";"pageview";"1";"2018-07-16 12:04:42"
"2469088";"1882146";"3391";"pageview";"91";"2018-07-16 12:06:34"
"3706723";"2705621";"3391";"pageview";"1";"2018-07-16 12:09:18"
"3706724";"2653344";"143";"pageview";"1";"2018-07-16 12:10:33"
"3706727";"2653344";"4226";"pageview";"1";"2018-07-16 12:13:33"
"3706730";"2705623";"5774";"pageview";"2";"2018-07-16 12:14:50"
"3706735";"2653344";"705";"pageview";"1";"2018-07-16 12:15:27"
"3706739";"2705626";"4701";"pageview";"1";"2018-07-16 12:15:48"
"3706741";"2653344";"263";"pageview";"1";"2018-07-16 12:16:11"
"3706744";"2653344";"4764";"pageview";"1";"2018-07-16 12:17:12"
"3706732";"2702679";"5059";"pageview";"4";"2018-07-16 12:18:44"
"3706747";"2705563";"296";"pageview";"1";"2018-07-16 12:21:43"
"3706750";"2705627";"725";"pageview";"1";"2018-07-16 12:24:58"
"3706751";"2705628";"70";"pageview";"1";"2018-07-16 12:25:08"
"3706755";"715904";"6280";"pageview";"1";"2018-07-16 12:26:16"
"3706757";"2705629";"4595";"pageview";"1";"2018-07-16 12:26:35"
"3706761";"2705634";"6197";"pageview";"1";"2018-07-16 12:34:02"
"3706764";"2705633";"4487";"pageview";"1";"2018-07-16 12:34:33"
"3706769";"2705634";"4799";"pageview";"2";"2018-07-16 12:35:21"
"3706772";"2705636";"2796";"pageview";"1";"2018-07-16 12:37:58"
"3706776";"2705637";"1978";"pageview";"1";"2018-07-16 12:39:22"
"3706779";"2622931";"6245";"pageview";"1";"2018-07-16 12:40:45"
"3706781";"2622931";"6224";"pageview";"1";"2018-07-16 12:42:08"
"3706783";"2705640";"296";"pageview";"1";"2018-07-16 12:43:31"
"3706784";"2705641";"28";"pageview";"1";"2018-07-16 12:43:40"
"3706787";"2705642";"6276";"pageview";"1";"2018-07-16 12:48:20"
"3706789";"2705646";"2331";"pageview";"1";"2018-07-16 12:51:08"
"3641578";"2565192";"96";"pageview";"2";"2018-07-16 12:53:18"
"3706794";"2705648";"674";"pageview";"3";"2018-07-16 13:04:00"
"3706797";"2705650";"303";"pageview";"1";"2018-07-16 13:04:10"
"3706174";"2705351";"303";"pageview";"2";"2018-07-16 13:06:45"
"3706800";"2705648";"3879";"pageview";"1";"2018-07-16 13:07:00"
"3706802";"2705648";"4982";"pageview";"1";"2018-07-16 13:08:08"
"3706804";"2705648";"858";"pageview";"1";"2018-07-16 13:08:55"
"3706805";"2139152";"6282";"pageview";"1";"2018-07-16 13:11:08"
"3706807";"2705653";"178";"pageview";"1";"2018-07-16 13:12:55"
"3706810";"2705654";"330";"pageview";"1";"2018-07-16 13:13:46"
"3687433";"2694665";"2260";"pageview";"2";"2018-07-16 13:14:17"
"3706812";"2705655";"4286";"pageview";"1";"2018-07-16 13:15:49"
"3706814";"2705658";"403";"pageview";"1";"2018-07-16 13:26:13"
"3706816";"2705658";"6276";"pageview";"3";"2018-07-16 13:28:37"
"3706820";"2705660";"5680";"pageview";"2";"2018-07-16 13:29:45"
"3706821";"2705661";"157";"pageview";"1";"2018-07-16 13:30:51"
"3706830";"2705663";"3021";"pageview";"1";"2018-07-16 13:34:07"
"3706825";"2705662";"4286";"pageview";"3";"2018-07-16 13:38:31"
"3706836";"2705665";"3326";"pageview";"1";"2018-07-16 13:42:15"
"3706838";"2705666";"725";"pageview";"1";"2018-07-16 13:44:04"
"3706839";"2705667";"2331";"pageview";"1";"2018-07-16 13:49:28"
"3706842";"2705668";"5932";"pageview";"1";"2018-07-16 13:50:30"
"3706849";"2301870";"6143";"pageview";"1";"2018-07-16 13:54:07"
"3641195";"2301870";"5892";"pageview";"3";"2018-07-16 13:54:33"
"3706846";"2705671";"1237";"pageview";"3";"2018-07-16 13:58:46"
"3706852";"2705673";"327";"pageview";"1";"2018-07-16 13:59:06"
"3706854";"2705675";"143";"pageview";"1";"2018-07-16 14:00:09"
"3706858";"2705677";"3126";"pageview";"1";"2018-07-16 14:02:11"
"3706865";"2705680";"3840";"pageview";"1";"2018-07-16 14:07:42"
"3414997";"2498940";"4749";"pageview";"4";"2018-07-16 14:08:08"
"3706861";"2705680";"5876";"pageview";"2";"2018-07-16 14:08:16"
"3706868";"2705684";"5938";"pageview";"1";"2018-07-16 14:11:00"
"3706870";"2705684";"390";"pageview";"1";"2018-07-16 14:13:36"
"3706872";"2705688";"6085";"pageview";"1";"2018-07-16 14:14:02"
"3706873";"2705689";"4286";"pageview";"1";"2018-07-16 14:14:05"
"3706876";"2705687";"1401";"pageview";"1";"2018-07-16 14:14:40"
"3706878";"2705690";"4208";"pageview";"1";"2018-07-16 14:15:05"
"2629935";"1991769";"28";"pageview";"6";"2018-07-16 14:16:54"
"3706880";"2705693";"5890";"pageview";"1";"2018-07-16 14:22:41"
"3706662";"2705600";"998";"pageview";"4";"2018-07-16 14:28:10"
"3706887";"2705696";"2608";"pageview";"1";"2018-07-16 14:29:53"
"3706884";"2705695";"1010";"pageview";"2";"2018-07-16 14:30:04"
"3706890";"2705696";"3391";"pageview";"1";"2018-07-16 14:30:28"
"3706896";"2705696";"970";"pageview";"1";"2018-07-16 14:31:22"
"3706893";"2705696";"483";"pageview";"2";"2018-07-16 14:31:27"
"3706900";"2705600";"3391";"pageview";"1";"2018-07-16 14:34:59"
"3706901";"2308060";"295";"pageview";"1";"2018-07-16 14:35:02"
"3706906";"2705697";"772";"pageview";"1";"2018-07-16 14:36:36"
"3706909";"2705600";"5266";"pageview";"1";"2018-07-16 14:36:45"
"3706917";"2705600";"2191";"pageview";"1";"2018-07-16 14:40:56"
"3706907";"1851102";"5678";"pageview";"3";"2018-07-16 14:41:43"
"3706916";"2705700";"4802";"pageview";"2";"2018-07-16 14:41:44"
"3706923";"2705600";"6158";"pageview";"1";"2018-07-16 14:42:21"
"3706931";"1529905";"6155";"order";"1";"2018-07-16 14:43:54"
"3706932";"2705600";"4911";"pageview";"2";"2018-07-16 14:47:59"
"3706935";"2705705";"143";"pageview";"1";"2018-07-16 14:48:43"
"3706937";"2705706";"3614";"pageview";"1";"2018-07-16 14:48:56"
"3542909";"1965378";"1352";"pageview";"14";"2018-07-16 14:49:29"
"3635739";"1529905";"6155";"pageview";"8";"2018-07-16 14:50:22"
"3706941";"2705705";"6049";"pageview";"1";"2018-07-16 14:50:31"
"3706942";"2705708";"385";"pageview";"1";"2018-07-16 14:54:31"
"3706945";"2705711";"5692";"pageview";"1";"2018-07-16 14:56:10"
"3706791";"2705649";"49";"pageview";"2";"2018-07-16 14:56:36"
"3706948";"2705713";"348";"pageview";"3";"2018-07-16 15:00:43"
"3706950";"2705714";"5577";"pageview";"1";"2018-07-16 15:02:36"
"3706951";"2705717";"305";"pageview";"1";"2018-07-16 15:05:30"
"3706954";"2580631";"6282";"pageview";"1";"2018-07-16 15:06:38"
"3706956";"2705718";"4647";"pageview";"1";"2018-07-16 15:12:20"
"3706958";"2705720";"4704";"pageview";"1";"2018-07-16 15:13:45"
"3706960";"2705722";"1062";"pageview";"1";"2018-07-16 15:17:01"
"3706964";"2705704";"297";"pageview";"1";"2018-07-16 15:19:04"
"3706968";"2705724";"4688";"pageview";"1";"2018-07-16 15:21:35"
"3576942";"2610280";"955";"pageview";"3";"2018-07-16 15:22:27"
"3706971";"2705726";"4674";"pageview";"1";"2018-07-16 15:26:38"
"3706974";"2705727";"1237";"pageview";"1";"2018-07-16 15:31:05"
"3706978";"2705728";"1062";"pageview";"1";"2018-07-16 15:35:33"
"3297991";"883157";"5892";"pageview";"44";"2018-07-16 15:38:21"
"3703977";"2704062";"5695";"pageview";"2";"2018-07-16 15:38:37"
"3706979";"2705731";"84";"pageview";"1";"2018-07-16 15:38:54"
"3706982";"2705732";"5089";"pageview";"1";"2018-07-16 15:40:28"
"3706984";"883157";"6282";"pageview";"1";"2018-07-16 15:40:56"
"3706988";"2705733";"5274";"pageview";"1";"2018-07-16 15:47:49"
"3706993";"2705735";"4707";"pageview";"1";"2018-07-16 15:48:50"
"3706990";"2705734";"49";"pageview";"2";"2018-07-16 15:49:01"
"3706996";"2705737";"395";"pageview";"1";"2018-07-16 15:51:11"
"3706998";"2705738";"2331";"pageview";"1";"2018-07-16 15:51:40"
"3706999";"2705739";"5930";"pageview";"1";"2018-07-16 15:52:02"
"3707002";"2705741";"483";"pageview";"2";"2018-07-16 15:53:43"
"3707006";"2705743";"5337";"pageview";"1";"2018-07-16 15:53:47"
"3707011";"2705742";"169";"pageview";"1";"2018-07-16 15:54:35"
"3707015";"2705742";"6030";"pageview";"1";"2018-07-16 15:55:26"
"3707017";"2578158";"3787";"pageview";"1";"2018-07-16 15:55:49"
"3707018";"2578158";"6219";"pageview";"1";"2018-07-16 15:56:29"
"3703148";"2703464";"49";"pageview";"3";"2018-07-16 15:59:04"
"3707020";"2705748";"5577";"pageview";"1";"2018-07-16 16:04:29"
"3707023";"2705749";"1476";"pageview";"1";"2018-07-16 16:08:52"
"3707026";"2705753";"303";"pageview";"2";"2018-07-16 16:11:08"
"3707029";"2705754";"4472";"pageview";"1";"2018-07-16 16:16:27"
"3707031";"2705755";"6042";"pageview";"1";"2018-07-16 16:20:11"
"3707034";"2705756";"2980";"pageview";"1";"2018-07-16 16:21:13"
"3707037";"2705757";"303";"pageview";"1";"2018-07-16 16:22:32"
"3707040";"2705759";"3127";"pageview";"1";"2018-07-16 16:25:59"
"3703244";"2703518";"725";"pageview";"2";"2018-07-16 16:28:51"
"3707044";"2565192";"54";"pageview";"1";"2018-07-16 16:30:20"
"3707046";"2705763";"725";"pageview";"1";"2018-07-16 16:31:22"
"3702070";"1529905";"6280";"pageview";"7";"2018-07-16 16:31:25"
"3707047";"2705759";"1405";"pageview";"1";"2018-07-16 16:32:17"
"3707050";"2705766";"303";"pageview";"1";"2018-07-16 16:34:43"
"3707054";"2705770";"725";"pageview";"1";"2018-07-16 16:37:49"
"3707051";"2705767";"872";"pageview";"2";"2018-07-16 16:39:00"
"3707055";"2705771";"2331";"pageview";"1";"2018-07-16 16:40:31"
"3707058";"2705773";"5897";"pageview";"1";"2018-07-16 16:41:39"
"3707003";"2705740";"5682";"pageview";"3";"2018-07-16 16:45:10"
"3707067";"2705775";"6281";"pageview";"3";"2018-07-16 16:48:01"
"3707065";"2705775";"6278";"pageview";"2";"2018-07-16 16:48:04"
"3707062";"2705775";"6227";"pageview";"2";"2018-07-16 16:48:07"
"3707069";"2705777";"592";"pageview";"1";"2018-07-16 16:48:30"
"3707071";"2705774";"3840";"pageview";"1";"2018-07-16 16:49:16"
"3707074";"2705781";"6082";"pageview";"1";"2018-07-16 16:58:07"
"3707076";"2705740";"5695";"pageview";"2";"2018-07-16 17:06:19"
"3707078";"2705783";"1613";"pageview";"1";"2018-07-16 17:08:39"
"3707081";"2705784";"652";"pageview";"1";"2018-07-16 17:09:24"
"3707092";"2705788";"6175";"pageview";"1";"2018-07-16 17:12:13"
"3707088";"2705787";"5296";"pageview";"2";"2018-07-16 17:15:32"
"3707104";"2705787";"2317";"pageview";"1";"2018-07-16 17:16:44"
"3707086";"2705786";"4945";"pageview";"5";"2018-07-16 17:17:45"
"3707106";"2705789";"5836";"pageview";"3";"2018-07-16 17:18:05"
"3707113";"2705790";"5170";"pageview";"1";"2018-07-16 17:18:54"
"3707101";"2705787";"6232";"pageview";"3";"2018-07-16 17:19:58"
"3707097";"2705787";"6239";"pageview";"2";"2018-07-16 17:20:05"
"3707120";"2705792";"4686";"pageview";"1";"2018-07-16 17:20:28"
"3706130";"2705326";"4594";"pageview";"3";"2018-07-16 17:20:54"
"3707124";"2705793";"331";"pageview";"1";"2018-07-16 17:21:31"
"3707125";"2705794";"2762";"pageview";"1";"2018-07-16 17:21:33"
"3707114";"2705791";"2763";"pageview";"2";"2018-07-16 17:21:41"
"3707129";"2705798";"2575";"pageview";"1";"2018-07-16 17:36:09"
"3707132";"2705799";"249";"pageview";"1";"2018-07-16 17:40:20"
"3707135";"2705800";"2104";"pageview";"2";"2018-07-16 17:46:18"
"3707138";"2705801";"6243";"pageview";"1";"2018-07-16 17:46:34"
"3707142";"2705801";"6228";"pageview";"1";"2018-07-16 17:48:38"
"3707146";"2705804";"6041";"pageview";"1";"2018-07-16 17:51:47"
"3707147";"2705801";"3678";"pageview";"1";"2018-07-16 17:51:51"
"3707149";"2705806";"4213";"pageview";"1";"2018-07-16 17:52:02"
"3707158";"2705807";"6224";"pageview";"1";"2018-07-16 17:53:56"
"3707155";"2705807";"725";"pageview";"2";"2018-07-16 17:54:02"
"3707159";"2705808";"502";"pageview";"1";"2018-07-16 17:56:23"
"3707162";"2705809";"17";"pageview";"1";"2018-07-16 17:57:08"
"3707166";"2705810";"3611";"pageview";"1";"2018-07-16 17:57:46"
"3707170";"2705811";"5600";"pageview";"1";"2018-07-16 17:59:49"
"3707173";"2705811";"3438";"pageview";"1";"2018-07-16 18:01:29"
"3707176";"2705812";"5042";"pageview";"1";"2018-07-16 18:03:21"
"3707181";"2705811";"49";"pageview";"1";"2018-07-16 18:04:18"
"3707190";"2705817";"5838";"pageview";"2";"2018-07-16 18:10:24"
"3707197";"2705819";"49";"pageview";"1";"2018-07-16 18:13:16"
"3707194";"2705817";"108";"pageview";"2";"2018-07-16 18:13:46"
"3707186";"2705815";"4594";"pageview";"3";"2018-07-16 18:15:59"
"3707211";"2705817";"3737";"pageview";"1";"2018-07-16 18:16:28"
"3707216";"2705817";"5887";"pageview";"1";"2018-07-16 18:18:01"
"3707214";"2705817";"6228";"pageview";"2";"2018-07-16 18:19:08"
"3707209";"2705817";"5742";"pageview";"2";"2018-07-16 18:19:19"
"3707205";"2705817";"6248";"pageview";"2";"2018-07-16 18:19:26"
"3707201";"2705817";"5836";"pageview";"4";"2018-07-16 18:19:32"
"3707191";"2705817";"5837";"pageview";"3";"2018-07-16 18:19:37"
"3707222";"2705817";"6227";"pageview";"1";"2018-07-16 18:20:35"
"3707223";"2705820";"1237";"pageview";"1";"2018-07-16 18:20:35"
"3707227";"2148466";"105";"pageview";"1";"2018-07-16 18:22:13"
"3707230";"2705823";"2331";"pageview";"1";"2018-07-16 18:32:20"
"3707231";"2705826";"5527";"pageview";"1";"2018-07-16 18:37:45"
"3707233";"2705827";"906";"pageview";"1";"2018-07-16 18:37:54"
"3707235";"2705829";"1754";"pageview";"1";"2018-07-16 18:42:31"
"3707239";"2705831";"399";"pageview";"1";"2018-07-16 18:43:36"
"3707242";"2705832";"96";"pageview";"1";"2018-07-16 18:44:20"
"3707244";"2705833";"611";"pageview";"1";"2018-07-16 18:44:42"
"3707250";"2705834";"2331";"pageview";"1";"2018-07-16 18:46:58"
"3707252";"2704234";"3943";"pageview";"1";"2018-07-16 18:47:41"
"3707253";"2705830";"5668";"pageview";"1";"2018-07-16 18:47:45"
"3707254";"2705830";"5928";"pageview";"1";"2018-07-16 18:47:47"
"3245678";"2385903";"324";"pageview";"15";"2018-07-16 18:51:44"
"3707262";"2705837";"2950";"pageview";"1";"2018-07-16 18:55:09"
"3707264";"2705838";"303";"pageview";"1";"2018-07-16 18:57:18"
"3707269";"2705850";"592";"pageview";"1";"2018-07-16 19:00:51"
"3707272";"2705851";"333";"pageview";"1";"2018-07-16 19:02:27"
"3707275";"2704234";"5514";"pageview";"1";"2018-07-16 19:04:49"
"3707282";"2705857";"581";"pageview";"1";"2018-07-16 19:09:06"
"3707279";"2699209";"249";"pageview";"3";"2018-07-16 19:11:10"
"3694660";"2699209";"973";"pageview";"4";"2018-07-16 19:11:28"
"3675821";"2681128";"390";"pageview";"2";"2018-07-16 19:13:21"
"3707286";"2702679";"5514";"order";"1";"2018-07-16 19:18:19"
"3707287";"2705867";"5359";"pageview";"2";"2018-07-16 19:21:09"
"3707290";"2705867";"4635";"pageview";"1";"2018-07-16 19:22:46"
"3707293";"2705872";"330";"pageview";"1";"2018-07-16 19:23:58"
"3707295";"2705874";"195";"pageview";"1";"2018-07-16 19:26:12"
"3707297";"2705876";"4794";"pageview";"1";"2018-07-16 19:26:40"
"3707300";"2705880";"5059";"pageview";"1";"2018-07-16 19:27:41"
"3707304";"2705880";"5514";"pageview";"1";"2018-07-16 19:28:25"
"3707307";"2705881";"4740";"pageview";"1";"2018-07-16 19:30:11"
"3707311";"2705881";"4739";"pageview";"3";"2018-07-16 19:34:21"
"3707314";"2705885";"331";"pageview";"1";"2018-07-16 19:34:40"
"3699023";"2687943";"5681";"pageview";"2";"2018-07-16 19:36:12"
"3707319";"2705886";"1062";"pageview";"1";"2018-07-16 19:36:32"
"3707321";"2705888";"3126";"pageview";"1";"2018-07-16 19:37:40"
"3707324";"2705891";"6027";"pageview";"1";"2018-07-16 19:38:03"
"3545465";"2588051";"1227";"pageview";"4";"2018-07-16 19:38:35"
"3707326";"2705888";"3127";"pageview";"1";"2018-07-16 19:38:49"
"3705572";"2705119";"333";"pageview";"6";"2018-07-16 19:41:15"
"3638389";"1927728";"5527";"pageview";"3";"2018-07-16 19:41:41"
"3707331";"2705119";"2796";"pageview";"1";"2018-07-16 19:42:32"
"3707334";"2705899";"3871";"pageview";"1";"2018-07-16 19:44:12"
"3707337";"2705905";"3966";"pageview";"1";"2018-07-16 19:48:19"
"3707338";"2705907";"303";"pageview";"1";"2018-07-16 19:48:30"
"3707341";"2705910";"4699";"pageview";"1";"2018-07-16 19:51:39"
